dt,name,code,score
2016.01.12,POSCO,'005490,4
2016.01.12,에스케이디앤디,'210980,4
2016.01.12,두산,'000150,4
2016.01.12,현대모비스,'012330,4
2016.01.12,한진해운,'117930,4
2016.01.12,카카오,'035720,4
2016.01.11,기아차,'000270,4
2016.01.11,현대차,'005380,4
2016.01.08,인터파크,'108790,4
2016.01.08,NAVER,'035420,4
2016.01.07,인바디,'041830,4
2016.01.07,현대그린푸드,'005440,4
2016.01.06,한국항공우주,'047810,4
2016.01.06,대우증권,'006800,4
2016.01.04,KR모터스,'000040,4
2016.01.20,CJ대한통운,'000120,4
2016.01.20,파트론,'091700,4
2016.01.20,맥쿼리인프라,'088980,4
2016.01.20,롯데하이마트,'071840,4
2016.01.20,SK텔레콤,'017670,4
2016.01.19,한국전력,'015760,4
2016.01.19,아시아나항공,'020560,4
2016.01.19,대한항공,'003490,4
2016.01.19,현대제철,'004020,4
2016.01.19,대우건설,'047040,4
2016.01.19,보령제약,'003850,4
2016.01.19,셀트리온,'068270,4
2016.01.18,대봉엘에스,'078140,4
2016.01.18,대현,'016090,4
2016.01.18,롯데푸드,'002270,4
2016.01.15,만도,'204320,4
2016.01.15,한라홀딩스,'060980,4
2016.01.15,한화테크윈,'012450,4
2016.01.15,LIG넥스원,'079550,4
2016.01.15,아이마켓코리아,'122900,4
2016.01.14,AP시스템,'054620,4
2016.01.14,쌍용차,'003620,4
2016.01.14,서울반도체,'046890,4
2016.01.14,현대글로비스,'086280,4
2016.01.14,SK,'034730,4
2016.01.14,하나투어,'039130,4
2016.01.13,쿠쿠전자,'192400,4
2016.01.13,삼진제약,'005500,4
2016.01.13,하이트진로,'000080,4
2016.01.28,현대제철,'004020,4
2016.01.28,LG디스플레이,'034220,4
2016.01.28,대현,'016090,4
2016.01.28,현대건설,'000720,4
2016.01.27,LG생활건강,'051900,4
2016.01.27,LG화학,'051910,4
2016.01.27,동서,'026960,4
2016.01.27,SK네트웍스,'001740,4
2016.01.27,LG생활건강,'051900,4
2016.01.27,대우인터내셔널,'047050,4
2016.01.27,매일유업,'005990,4
2016.01.27,현대차,'005380,4
2016.01.27,LG전자,'066570,4
2016.01.27,SK하이닉스,'000660,4
2016.01.26,LG이노텍,'011070,4
2016.01.26,삼성SDI,'006400,4
2016.01.26,SKC코오롱PI,'178920,4
2016.01.26,빙그레,'005180,4
2016.01.26,동아쏘시오홀딩스,'000640,4
2016.01.25,한국철강,'104700,4
2016.01.25,S&amp;T중공업,'003570,4
2016.01.25,성광벤드,'014620,4
2016.01.22,KT&amp;G,'033780,4
2016.01.22,대한제강,'084010,4
2016.01.22,이마트,'139480,4
2016.01.20,신세계,'004170,4
2016.02.02,대한제강,'084010,4
2016.02.02,이마트,'139480,4
2016.02.02,삼성중공업,'010140,4
2016.02.02,현대글로비스,'086280,4
2016.02.02,LG유플러스,'032640,4
2016.02.02,위메이드,'112040,4
2016.02.02,대봉엘에스,'078140,4
2016.02.02,바텍,'043150,4
2016.02.02,하이록코리아,'013030,4
2016.02.02,한샘,'009240,4
2016.02.02,현대로템,'064350,4
2016.02.01,맥쿼리인프라,'088980,4
2016.02.01,삼성전기,'009150,4
2016.02.01,KT,'030200,4
2016.02.01,S-Oil,'010950,4
2016.02.01,국도화학,'007690,4
2016.02.01,대우인터내셔널,'047050,4
2016.02.01,대림산업,'000210,4
2016.01.29,대림산업,'000210,4
2016.01.29,POSCO,'005490,4
2016.01.29,제일기획,'030000,4
2016.01.29,LS산전,'010120,4
2016.01.29,신세계,'004170,4
2016.01.29,삼성전자,'005930,4
2016.01.29,GS건설,'006360,4
2016.01.29,에스원,'012750,4
2016.01.29,파트론,'091700,4
2016.01.29,NAVER,'035420,4
2016.01.29,한국항공우주,'047810,4
2016.01.29,호텔신라,'008770,4
2016.02.11,LS산전,'010120,4
2016.02.05,CJ CGV,'079160,4
2016.02.05,한국전력,'015760,4
2016.02.05,롯데하이마트,'071840,4
2016.02.05,CJ오쇼핑,'035760,4
2016.02.05,현대미포조선,'010620,4
2016.02.05,현대산업,'012630,4
2016.02.05,동아에스티,'170900,4
2016.02.05,GS리테일,'007070,4
2016.02.05,롯데쇼핑,'023530,4
2016.02.05,CJ제일제당,'097950,4
2016.02.04,농우바이오,'054050,4
2016.02.04,컴투스,'078340,4
2016.02.04,게임빌,'063080,4
2016.02.04,LG상사,'001120,4
2016.02.04,게임빌,'063080,4
2016.02.04,컴투스,'078340,4
2016.02.04,에스케이디앤디,'210980,4
2016.02.03,아모레퍼시픽,'090430,4
2016.02.03,GS홈쇼핑,'028150,4
2016.02.03,대한항공,'003490,4
2016.02.03,서울반도체,'046890,4
2016.02.03,아모레퍼시픽,'090430,4
2016.02.03,SK텔레콤,'017670,4
2016.02.03,삼진제약,'005500,4
2016.02.03,GS홈쇼핑,'028150,4
2016.02.03,롯데케미칼,'011170,4
2016.02.03,웅진씽크빅,'095720,4
2016.02.02,세아베스틸,'001430,4
2016.02.02,한국철강,'104700,4
2016.02.15,CJ프레시웨이,'051500,4
2016.02.12,엔씨소프트,'036570,4
2016.02.12,하이트진로,'000080,4
2016.02.12,엔씨소프트,'036570,4
2016.02.12,오리온,'001800,5
2016.02.12,에스엠,'041510,4
2016.02.12,BGF리테일,'027410,4
2016.02.12,현대리바트,'079430,4
2016.02.11,셀트리온,'068270,4
2016.02.11,LIG넥스원,'079550,4
2016.02.11,LG생명과학,'068870,4
2016.02.11,두산엔진,'082740,4
2016.02.11,환인제약,'016580,4
2016.02.11,카카오,'035720,4
2016.02.11,선데이토즈,'123420,4
2016.02.11,현대백화점,'069960,4
2016.02.11,SK이노베이션,'096770,4
2016.02.11,GS,'078930,4
2016.02.11,두산중공업,'034020,4
2016.02.11,금호석유,'011780,4
2016.02.11,SKC,'011790,4
2016.02.11,KCC,'002380,4
2016.02.11,SK가스,'018670,5
2016.02.11,LG상사,'001120,4
2016.02.11,코리안리,'003690,4
2016.02.11,CJ제일제당,'097950,4
2016.02.11,현대그린푸드,'005440,4
2016.02.11,현대홈쇼핑,'057050,4
2016.02.23,맥쿼리인프라,'088980,4
2016.02.23,현대백화점,'069960,4
2016.02.23,이수페타시스,'007660,4
2016.02.22,에스케이디앤디,'210980,4
2016.02.22,LG전자,'066570,4
2016.02.22,SK네트웍스,'001740,4
2016.02.22,아비코전자,'036010,4
2016.02.22,씨젠,'096530,4
2016.02.22,보령제약,'003850,4
2016.02.19,에스엠,'041510,4
2016.02.18,코웨이,'021240,4
2016.02.17,코스맥스,'192820,4
2016.02.17,무학,'033920,4
2016.02.17,케이탑리츠,'145270,4
2016.02.17,OCI,'010060,4
2016.02.17,심텍,'222800,4
2016.02.17,한세실업,'105630,4
2016.02.16,GS리테일,'007070,4
2016.02.16,LG전자,'066570,4
2016.02.16,농심,'004370,4
2016.02.16,민앤지,'214180,4
2016.02.15,한국콜마,'161890,4
2016.02.15,인터파크,'108790,4
