dt,name,code,pos_score
2016.01.04,KR모터스,'000040,0.857
2016.01.05,비에이치,'090460,0.667
2016.01.06,한국항공우주,'047810,0.667
2016.01.06,대우증권,'006800,0.308
2016.01.07,현대그린푸드,'005440,0.778
2016.01.07,인바디,'041830,0.818
2016.01.08,인터파크,'108790,0.714
2016.01.08,NAVER,'035420,0.857
2016.01.11,기아차,'000270,0.429
2016.01.11,현대차,'005380,0.286
2016.01.12,POSCO,'005490,0.583
2016.01.12,두산,'000150,0.846
2016.01.12,에스케이디앤디,'210980,0.833
2016.01.12,현대모비스,'012330,0.833
2016.01.12,한진해운,'117930,0.286
2016.01.12,카카오,'035720,0.8
2016.01.13,하이트진로,'000080,0.8
2016.01.13,삼진제약,'005500,0.789
2016.01.13,쿠쿠전자,'192400,0.831
2016.01.14,현대글로비스,'086280,0.857
2016.01.14,서울반도체,'046890,0.857
2016.01.14,하나투어,'039130,0.75
2016.01.14,쌍용차,'003620,0.79
2016.01.14,SK,'034730,0.667
2016.01.14,AP시스템,'054620,0.889
2016.01.15,한화테크윈,'012450,0.667
2016.01.15,한라홀딩스,'060980,0.75
2016.01.15,만도,'204320,0.846
2016.01.15,아이마켓코리아,'122900,0.714
2016.01.15,LIG넥스원,'079550,0.778
2016.01.18,대현,'016090,0.778
2016.01.18,대봉엘에스,'078140,0.872
2016.01.18,롯데푸드,'002270,0.75
2016.01.19,현대제철,'004020,0.667
2016.01.19,보령제약,'003850,0.833
2016.01.19,대한항공,'003490,0.571
2016.01.19,한국전력,'015760,0.864
2016.01.19,대우건설,'047040,0.75
2016.01.19,셀트리온,'068270,0.921
2016.01.19,아시아나항공,'020560,0.556
2016.01.20,롯데하이마트,'071840,0.571
2016.01.20,맥쿼리인프라,'088980,0.833
2016.01.20,파트론,'091700,0.857
2016.01.20,CJ대한통운,'000120,0.667
2016.01.20,신세계,'004170,0.667
2016.01.20,SK텔레콤,'017670,0.767
2016.01.20,한국맥널티,'222980,1.0
2016.01.21,덱스터,'206560,0.81
2016.01.22,이마트,'139480,0.647
2016.01.22,대한제강,'084010,0.857
2016.01.25,이엠코리아,'095190,0.5
2016.01.25,성광벤드,'014620,0.611
2016.01.25,한국철강,'104700,0.77
2016.01.26,삼성SDI,'006400,0.333
2016.01.26,동아쏘시오홀딩스,'000640,0.857
2016.01.26,빙그레,'005180,0.667
2016.01.26,SKC코오롱PI,'178920,0.667
2016.01.26,LG이노텍,'011070,0.571
2016.01.27,LG화학,'051910,0.75
2016.01.27,매일유업,'005990,0.857
2016.01.27,LG생활건강,'051900,0.716
2016.01.27,SK하이닉스,'000660,0.556
2016.01.27,현대차,'005380,0.333
2016.01.27,SK네트웍스,'001740,0.647
2016.01.27,LG생활건강,'051900,0.75
2016.01.27,LG전자,'066570,0.786
2016.01.27,대우인터내셔널,'047050,0.529
2016.01.27,동서,'026960,0.778
2016.01.28,현대건설,'000720,0.667
2016.01.28,GS건설,'006360,1.0
2016.01.28,LG디스플레이,'034220,0.857
2016.01.28,현대제철,'004020,0.714
2016.01.28,대현,'016090,0.923
2016.01.29,신세계,'004170,0.75
2016.01.29,한국항공우주,'047810,0.857
2016.01.29,에스원,'012750,0.571
2016.01.29,GS건설,'006360,0.667
2016.01.29,파트론,'091700,0.75
2016.01.29,LS산전,'010120,0.353
2016.01.29,POSCO,'005490,0.667
2016.01.29,호텔신라,'008770,0.667
2016.01.29,제일기획,'030000,0.818
2016.01.29,대림산업,'000210,0.857
2016.01.29,NAVER,'035420,0.833
2016.01.29,삼성전자,'005930,0.364
2016.02.01,대림산업,'000210,0.857
2016.02.01,S-Oil,'010950,0.429
2016.02.01,맥쿼리인프라,'088980,0.571
2016.02.01,국도화학,'007690,0.75
2016.02.01,대우인터내셔널,'047050,0.571
2016.02.01,삼성전기,'009150,0.667
2016.02.01,KT,'030200,0.667
2016.02.02,LG유플러스,'032640,0.778
2016.02.02,현대글로비스,'086280,0.667
2016.02.02,이마트,'139480,0.875
2016.02.02,현대로템,'064350,0.25
2016.02.02,하이록코리아,'013030,0.667
2016.02.02,대봉엘에스,'078140,0.714
2016.02.02,대한제강,'084010,0.714
2016.02.02,바텍,'043150,0.988
2016.02.02,한샘,'009240,0.667
2016.02.02,위메이드,'112040,0.818
2016.02.02,세아베스틸,'001430,0.333
2016.02.02,삼성중공업,'010140,0.333
2016.02.02,한국철강,'104700,0.909
2016.02.03,대한항공,'003490,0.667
2016.02.03,아모레퍼시픽,'090430,0.917
2016.02.03,웅진씽크빅,'095720,0.816
2016.02.03,삼진제약,'005500,0.649
2016.02.03,GS홈쇼핑,'028150,0.667
2016.02.03,서울반도체,'046890,0.778
2016.02.03,아모레퍼시픽,'090430,0.833
2016.02.03,GS홈쇼핑,'028150,0.667
2016.02.03,SK텔레콤,'017670,0.75
2016.02.04,컴투스,'078340,0.667
2016.02.04,게임빌,'063080,0.857
2016.02.04,게임빌,'063080,0.857
2016.02.04,농우바이오,'054050,0.846
2016.02.04,컴투스,'078340,0.8
2016.02.04,LG상사,'001120,0.571
2016.02.04,에스케이디앤디,'210980,0.833
2016.02.05,현대산업,'012630,0.875
2016.02.05,현대미포조선,'010620,0.714
2016.02.05,CJ제일제당,'097950,0.667
2016.02.05,롯데하이마트,'071840,0.444
2016.02.05,롯데쇼핑,'023530,0.556
2016.02.05,동아에스티,'170900,0.782
2016.02.05,한국전력,'015760,0.78
2016.02.05,GS리테일,'007070,0.636
2016.02.05,CJ CGV,'079160,0.778
2016.02.11,환인제약,'016580,0.667
2016.02.11,셀트리온,'068270,0.864
2016.02.11,GS,'078930,0.753
2016.02.11,두산인프라코어,'042670,0.429
2016.02.11,SK가스,'018670,0.857
2016.02.11,두산엔진,'082740,0.667
2016.02.11,SKC,'011790,0.667
2016.02.11,LG생명과학,'068870,0.875
2016.02.11,LIG넥스원,'079550,0.889
2016.02.11,LG상사,'001120,0.786
2016.02.11,KCC,'002380,0.667
2016.02.11,선데이토즈,'123420,0.619
2016.02.11,두산중공업,'034020,0.455
2016.02.11,카카오,'035720,0.8
2016.02.11,현대홈쇼핑,'057050,0.786
2016.02.11,LS산전,'010120,0.679
2016.02.11,SK이노베이션,'096770,0.875
2016.02.11,금호석유,'011780,0.571
2016.02.11,코리안리,'003690,0.667
2016.02.11,데브시스터즈,'194480,0.571
2016.02.11,현대그린푸드,'005440,0.667
2016.02.11,현대백화점,'069960,0.8
2016.02.11,CJ제일제당,'097950,0.667
2016.02.12,BGF리테일,'027410,0.667
2016.02.12,엔씨소프트,'036570,0.667
2016.02.12,하이트진로,'000080,0.929
2016.02.12,오리온,'001800,0.857
2016.02.12,에스엠,'041510,0.857
2016.02.12,현대리바트,'079430,0.857
2016.02.12,엔씨소프트,'036570,0.667
2016.02.15,한전기술,'052690,0.7
2016.02.15,한국콜마,'161890,0.857
2016.02.15,CJ프레시웨이,'051500,0.714
2016.02.15,한국가스공사,'036460,0.4
2016.02.16,씨큐브,'101240,0.6
2016.02.16,농심,'004370,0.667
2016.02.16,GS리테일,'007070,0.778
2016.02.16,LG전자,'066570,0.817
2016.02.16,민앤지,'214180,0.75
2016.02.17,덱스터,'206560,0.93
2016.02.17,케이탑리츠,'145270,0.833
2016.02.17,OCI,'010060,0.286
2016.02.17,코스맥스,'192820,0.882
2016.02.17,한세실업,'105630,1.0
2016.02.17,무학,'033920,0.857
2016.02.17,심텍,'222800,0.833
2016.02.18,NHN엔터테인먼트,'181710,0.545
2016.02.18,코웨이,'021240,0.833
2016.02.19,에스엠,'041510,0.667
2016.02.22,아비코전자,'036010,0.667
2016.02.22,LG전자,'066570,0.857
2016.02.22,SK네트웍스,'001740,0.75
2016.02.22,에스케이디앤디,'210980,0.667
2016.02.22,씨젠,'096530,0.75
2016.02.22,보령제약,'003850,0.667
2016.02.23,이수페타시스,'007660,0.722
