dt,name,code,pos_score
2016.01.04,KRÎ™®ÌÑ∞Ïä§,'000040,0.594023943
2016.01.05,ÎπÑÏóêÏù¥Ïπò,'090460,0.660048425
2016.01.06,대우증권,'006800,0.591631413
2016.01.06,ÌïúÍµ≠Ìï≠Í≥µÏö∞Ï£º,'047810,0.590986073
2016.01.07,현대그린푸드,'005440,0.562340438
2016.01.07,Ïù∏Î∞îÎîî,'041830,0.59355998
2016.01.08,Ïù∏ÌÑ∞ÌååÌÅ¨,'108790,0.604677081
2016.01.08,NAVER,'035420,0.616902292
2016.01.11,현대차,'005380,0.566102743
2016.01.11,기아차,'000270,0.594133258
2016.01.12,두산,'000150,0.581105947
2016.01.12,POSCO,'005490,0.563685715
2016.01.12,Ïπ¥Ïπ¥Ïò§,'035720,0.597126901
2016.01.12,현대모비스,'012330,0.57471633
2016.01.12,한진해운,'117930,0.57643044
2016.01.12,에스케이디앤디,'210980,0.576947629
2016.01.13,쿠쿠전자,'192400,0.59319824
2016.01.13,ÌïòÏù¥Ìä∏ÏßÑÎ°ú,'000080,0.602608502
2016.01.13,ÏÇºÏßÑÏ†úÏïΩ,'005500,0.629064381
2016.01.14,현대글로비스,'086280,0.539609432
2016.01.14,서울반도체,'046890,0.556687474
2016.01.14,AP시스템,'054620,0.571904421
2016.01.14,쌍용차,'003620,0.56565541
2016.01.14,ÌïòÎÇòÌà¨Ïñ¥,'039130,0.608165145
2016.01.14,SK,'034730,0.588367641
2016.01.15,ÌïúÌôîÌÖåÌÅ¨Ïúà,'012450,0.605819941
2016.01.15,LIGÎÑ•Ïä§Ïõê,'079550,0.612964213
2016.01.15,만도,'204320,0.591861725
2016.01.15,ÏïÑÏù¥ÎßàÏºìÏΩîÎ¶¨ÏïÑ,'122900,0.622414887
2016.01.15,한라홀딩스,'060980,0.561681569
2016.01.18,ÎåÄÌòÑ,'016090,0.610896349
2016.01.18,ÎåÄÎ¥âÏóòÏóêÏä§,'078140,0.60858357
2016.01.18,롯데푸드,'002270,0.548919201
2016.01.19,아시아나항공,'020560,0.515015423
2016.01.19,대한항공,'003490,0.579544187
2016.01.19,한국전력,'015760,0.500648379
2016.01.19,현대제철,'004020,0.562114239
2016.01.19,Î≥¥Î†πÏ†úÏïΩ,'003850,0.613747299
2016.01.19,ÏÖÄÌä∏Î¶¨Ïò®,'068270,0.59821701
2016.01.19,ÎåÄÏö∞Í±¥ÏÑ§,'047040,0.596992314
2016.01.20,ÌïúÍµ≠Îß•ÎÑêÌã∞,'222980,0.598214328
2016.01.20,신세계,'004170,0.558022141
2016.01.20,CJ대한통운,'000120,0.579657197
2016.01.20,파트론,'091700,0.606284022
2016.01.20,맥쿼리인프라,'088980,0.547195315
2016.01.20,Î°ØÎç∞ÌïòÏù¥ÎßàÌä∏,'071840,0.604584098
2016.01.20,SKÌÖîÎ†àÏΩ§,'017670,0.598558247
2016.01.21,Îç±Ïä§ÌÑ∞,'206560,0.60785538
2016.01.22,대한제강,'084010,0.588046551
2016.01.22,이마트,'139480,0.588543117
2016.01.22,KT&amp;G,'033780,0.606666327
2016.01.23,KT&amp;G,'033780,0.577495992
2016.01.25,한국철강,'104700,0.578116238
2016.01.25,Ïù¥Ïó†ÏΩîÎ¶¨ÏïÑ,'095190,0.656185329
2016.01.25,ÏÑ±Í¥ëÎ≤§Îìú,'014620,0.590448618
2016.01.25,S&amp;TÏ§ëÍ≥µÏóÖ,'003570,0.606666327
2016.01.26,ÎèôÏïÑÏèòÏãúÏò§ÌôÄÎî©Ïä§,'000640,0.619380474
2016.01.26,SKC코오롱PI,'178920,0.57531476
2016.01.26,삼성SDI,'006400,0.555091202
2016.01.26,LG이노텍,'011070,0.575972795
2016.01.26,ÎπôÍ∑∏Î†à,'005180,0.600378275
2016.01.27,SK하이닉스,'000660,0.580064476
2016.01.27,LG전자,'066570,0.581608772
2016.01.27,LGÌôîÌïô,'051910,0.600354433
2016.01.27,현대차,'005380,0.541981697
2016.01.27,매일유업,'005990,0.5631724
2016.01.27,ÎèôÏÑú,'026960,0.598301709
2016.01.27,LG생활건강,'051900,0.566181779
2016.01.27,SKÎÑ§Ìä∏ÏõçÏä§,'001740,0.609794438
2016.01.27,LGÏÉùÌôúÍ±¥Í∞ï,'051900,0.607880712
