dt,name,code,pos_score
2016.01.04,KR모터스,'000040,0.86734606
2016.01.06,한국항공우주,'047810,0.319321585
2016.01.06,대우증권,'006800,0.243002994
2016.01.07,인바디,'041830,0.710541472
2016.01.07,현대그린푸드,'005440,0.456228558
2016.01.08,NAVER,'035420,0.667835071
2016.01.08,인터파크,'108790,0.323449642
2016.01.11,기아차,'000270,0.469434031
2016.01.11,현대차,'005380,0.455270566
2016.01.12,POSCO,'005490,0.25419184
2016.01.12,에스케이디앤디,'210980,0.419496717
2016.01.12,카카오,'035720,0.498136584
2016.01.12,현대모비스,'012330,0.513645678
2016.01.12,두산,'000150,0.699852896
2016.01.12,한진해운,'117930,0.003009674
2016.01.13,하이트진로,'000080,0.707635985
2016.01.13,쿠쿠전자,'192400,0.656940136
2016.01.13,삼진제약,'005500,0.697829845
2016.01.14,쌍용차,'003620,0.780725516
2016.01.14,서울반도체,'046890,0.600053001
2016.01.14,현대글로비스,'086280,0.680667514
2016.01.14,하나투어,'039130,0.469474063
2016.01.14,SK,'034730,0.820488659
2016.01.14,AP시스템,'054620,0.66176571
2016.01.15,한라홀딩스,'060980,0.445816339
2016.01.15,만도,'204320,0.779962083
2016.01.15,한화테크윈,'012450,0.574442806
2016.01.15,LIG넥스원,'079550,0.535474359
2016.01.15,아이마켓코리아,'122900,0.391881233
2016.01.18,롯데푸드,'002270,0.477423903
2016.01.18,대봉엘에스,'078140,0.782538507
2016.01.18,대현,'016090,0.003550278
2016.01.19,아시아나항공,'020560,0.269849414
2016.01.19,대우건설,'047040,0.591465874
2016.01.19,한국전력,'015760,0.355591247
2016.01.19,셀트리온,'068270,0.664142399
2016.01.19,보령제약,'003850,0.000331227
2016.01.19,대한항공,'003490,0.187308886
2016.01.19,현대제철,'004020,0.423337243
2016.01.20,CJ대한통운,'000120,0.698196417
2016.01.20,한국맥널티,'222980,0.430593962
2016.01.20,SK텔레콤,'017670,0.431390004
2016.01.20,맥쿼리인프라,'088980,0.348861173
2016.01.20,파트론,'091700,0.915061653
2016.01.20,롯데하이마트,'071840,0.245311149
2016.01.20,신세계,'004170,0.093284696
2016.01.21,덱스터,'206560,0.692951191
2016.01.22,대한제강,'084010,0.423538234
2016.01.22,KT&amp;G,'033780,4.94E-05
2016.01.22,이마트,'139480,0.28179025
2016.01.23,KT&amp;G,'033780,3.83E-05
2016.01.25,성광벤드,'014620,0.411742619
2016.01.25,이엠코리아,'095190,0.002480517
2016.01.25,한국철강,'104700,0.455410167
2016.01.25,S&amp;T중공업,'003570,4.94E-05
2016.01.26,빙그레,'005180,0.411648301
2016.01.26,SKC코오롱PI,'178920,0.556461364
2016.01.26,삼성SDI,'006400,0.277081992
2016.01.26,LG이노텍,'011070,0.405841145
2016.01.26,동아쏘시오홀딩스,'000640,0.651696923
2016.01.27,동서,'026960,0.580386627
2016.01.27,LG화학,'051910,0.413182989
2016.01.27,SK네트웍스,'001740,0.357399697
2016.01.27,LG생활건강,'051900,0.701005244
2016.01.27,매일유업,'005990,0.501981818
2016.01.27,대우인터내셔널,'047050,0.125680056
2016.01.27,LG생활건강,'051900,0.521278025
2016.01.27,SK하이닉스,'000660,0.311338835
2016.01.27,현대차,'005380,0.449191228
2016.01.27,LG전자,'066570,0.692441635
2016.01.28,LG디스플레이,'034220,0.310803374
2016.01.28,GS건설,'006360,0.315705307
2016.01.28,대현,'016090,0.766216977
2016.01.28,현대건설,'000720,0.560315013
2016.01.28,현대제철,'004020,0.406089515
2016.01.29,LS산전,'010120,0.481741164
2016.01.29,삼성전자,'005930,0.437218006
2016.01.29,대림산업,'000210,0.309358627
2016.01.29,에스원,'012750,0.320365724
2016.01.29,GS건설,'006360,0.347475063
2016.01.29,신세계,'004170,0.995507836
2016.01.29,호텔신라,'008770,0.396622209
2016.01.29,한국항공우주,'047810,0.606033209
2016.01.29,NAVER,'035420,0.69838828
2016.01.29,파트론,'091700,0.694916186
2016.01.29,제일기획,'030000,0.46941718
2016.01.29,POSCO,'005490,0.259434595
2016.02.01,삼성전기,'009150,0.420439148
2016.02.01,맥쿼리인프라,'088980,0.442977324
2016.02.01,국도화학,'007690,0.664558318
2016.02.01,KT,'030200,0.999838352
2016.02.01,대우인터내셔널,'047050,0.127616407
2016.02.01,S-Oil,'010950,0.196299989
2016.02.01,대림산업,'000210,0.480317819
2016.02.02,삼성중공업,'010140,0.326499855
2016.02.02,위메이드,'112040,0.712987427
2016.02.02,대봉엘에스,'078140,0.791195032
2016.02.02,바텍,'043150,0.73442077
2016.02.02,대한제강,'084010,0.516317532
2016.02.02,한샘,'009240,0.499892541
2016.02.02,현대로템,'064350,0.347270659
2016.02.02,한국철강,'104700,0.723318364
2016.02.02,세아베스틸,'001430,0.051284391
2016.02.02,현대글로비스,'086280,0.402740119
2016.02.02,LG유플러스,'032640,0.634874122
2016.02.02,하이록코리아,'013030,0.454319653
2016.02.02,이마트,'139480,0.374721852
2016.02.03,서울반도체,'046890,0.383831454
2016.02.03,웅진씽크빅,'095720,0.002218339
2016.02.03,GS홈쇼핑,'028150,0.382749979
2016.02.03,삼진제약,'005500,0.793200774
